LIB_BRANCHE;LIB_SOUS_BRANCHE;LIB_PRODUIT
VIE;DECES;TEMPORAIRE DECES 
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (BH)
VIE;DECES;ASSURANCE DECES VIE ENTIERE
VIE;DECES;TEMPORAIRE DECES (AS)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (AS)
VIE;DECES;CREDITS FONAPRA FOPRODI (AS)
VIE;DECES;CREDITS COMMERCIAUX (AS)
VIE;DECES;TEMPORAIRE DECES - COLLECTIVE - (AS)
VIE;DECES;CREDITS-COLLECTIFS -B.H- (AS)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (TSB)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (PERSONNELS TSB)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (BH)(AS)
VIE;DECES;ASSURANCE HOMME CLEF
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (AMICALE SOTUMAG)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (SYNDICAT TELEPERFORMANCE)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (SYNDICAT AMEN BANK)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (AMICALE CNFCPP)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (BTE)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (PERSONNELS BTE)
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT( ACQUITION DU PREMIER LOGEMENT (BH))
VIE;DECES;TEMPORAIRE DECES TAYSIR MICROFINANCE
VIE;DECES;TEMPORAIRE DECES EL AMEL MICROFINANCE
VIE;DECES;TEMPORAIRE DECES CFE
VIE;DECES;AHMINI ASSURANCE
VIE;DECES;TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (STEG)
VIE;DECES;DHAMEN SFDGUI
VIE;DECES;TEMPORAIRE DECES  DECROISSANT (SNDP)
VIE;VIE;ASSURANCE MIXTE VIE
VIE;VIE;MIXTE REVALORISABLE (AS)
VIE;VIE;MIXTE IMPURE A CARACTERE VIE 50 * 100 (AS)
VIE;VIE;MIXTE IMPURE A CARACTERE DECES 100 * 50 (AS)
VIE;VIE;MIXTE IMPURE A CARACTERE DECES 100 * 25 (AS)
VIE;CAPITALISATION;ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON 
VIE;CAPITALISATION;ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ 
VIE;CAPITALISATION;RENTE EDUCATION
VIE;CAPITALISATION;ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON (AS)
VIE;CAPITALISATION;ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ (AS)
VIE;CAPITALISATION;RENTE EDUCATION (AS)
VIE;CAPITALISATION;HORIZON (AMICALE SOTUMAG)
VIE;CAPITALISATION;HORIZON (AMICALE TELEPERFORMANCE)
VIE;BANCASSURANCE;DHAMEN
VIE;BANCASSURANCE;DHAMEN RETRAITE
VIE;BANCASSURANCE;CREDIT STOCK
VIE;BANCASSURANCE;DHAMEN COMPTE
VIE;BANCASSURANCE;ASSUR SENIOR
VIE;BANCASSURANCE;CARTES BANCAIRES
RISQUES DIVERS;VOL;VOL AVEC EFFRACTION MOBILIER D HABITATION
RISQUES DIVERS;VOL;VOL AVEC EFFRACTION DES MARCHANDISES DE TOUTE NATURE
RISQUES DIVERS;VOL;VOL DES RISQUES ACCESSOIRES
RISQUES DIVERS;VOL;VOL CONTENU DES COFFRES-FORTS DANS LES BANQUS,BUREAUX ET MAGASINS
RISQUES DIVERS;VOL;VOL SUR LA PERSONNE ET PERTE PAR CAS DE FORCE MAJEURE
RISQUES DIVERS;VOL;DETOURNEMENT DES ESPECES MONNAEES ET VALEURS PAR LE PERSONNEL
RISQUES DIVERS;VOL;VOL TOUTE CATEGORIES
RISQUES DIVERS;BRIS DE GLACE;BRIS DE GLACE
RISQUES DIVERS;DEGATS DES EAUX;DEGATS DES EAUX
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C MEDECIN
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C PARAMEDICALE
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C PHARMACIEN
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C PROFESSION CULINAIRE
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C STATION DE SERVICE
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C CHEF DE FAMILLE DETENTEUR D UN ANIMAL DOMESTIQUE
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C GARDERIE ET JARDIN D ENFANTS
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C COLONIES DE VACANCES
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C  ETABLISSEMENT  EDUCATION PHYSIQUE ET SPORTIVES
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C  ETABLISSEMENT ENSEIGNEMENT (PRIVE /PUBLIC)
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C CHASSE TERRESTRE 
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C BAIN MAURE - DOUCHE
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C EMBARCATION DE PLAISANCE
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C PROMONEUR EN CALECHE OU SUR MONTURE
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C & INDIVIDUELLE COMPLEMENTAIRE  PECHE ET PLONGE SOUS MARINE
RISQUES DIVERS;RESPONSABILITE CIVILE;RC CHASSEUR
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C PARTICULIER-CHEF DE FAMILLE- MAITRE DE MAISON
RISQUES DIVERS;RESPONSABILITE CIVILE;R.C PROPRIETAIRE D IMMEUBLE
RISQUES DIVERS;RESPONSABILITE CIVILE;RC ENTREPRISE DE BATIMENT ET TRAVAUX PUBLIC
RISQUES DIVERS;RESPONSABILITE CIVILE;RC ARTISANTS ET COMMERCANTS
RISQUES DIVERS;RESPONSABILITE CIVILE;RC HOTELIERS
RISQUES DIVERS;RESPONSABILITE CIVILE;RC COIFFEUR
RISQUES DIVERS;RESPONSABILITE CIVILE;RC EXPLOITATION DE THEATRE,CINEMA,SALLES DE CONCERTS, DE CONFEREN?CES ET DE SPECTACLES
RISQUES DIVERS;RESPONSABILITE CIVILE;RC EXPLOITATION ATTRACTION FORAINES
RISQUES DIVERS;RESPONSABILITE CIVILE;RC EXPLOITATION PARKING PAYANT POUR AUTOMOBILES
RISQUES DIVERS;RESPONSABILITE CIVILE;RC  AGRICULTURES
RISQUES DIVERS;RESPONSABILITE CIVILE;RC ASSOCIATION SPORTIVES
RISQUES DIVERS;RESPONSABILITE CIVILE;RC ENTRPRISES INDUSTRIELLES
RISQUES DIVERS;RESPONSABILITE CIVILE;RESPONSABILITE CIVILE
RISQUES DIVERS;INDIVIDUELLE ACCIDENTS;INDIVIDUELLE ACCIDENTS
RISQUES DIVERS;INDIVIDUELLE ACCIDENTS;INDIVIDUELLE ACCIDENTS ASSOCIE AU CONTRAT AUTO
RISQUES DIVERS;INDIVIDUELLE ACCIDENTS;INDIVIDUELLE ACCIDENTS AMICALE
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES EN VOYAGES - PLAN BASIQUE
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES EN VOYAGES MJSEP
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES EN VOYAGES AMICALE
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES VOYAGES SERGAZ
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES EN VOYAGES BH
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES EN VOYAGES LEONI
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES EN VOYAGES - PLAN BUSINESS
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES EN VOYAGES - PLAN GOLDEN
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES EN VOYAGES - PLAN ETUDIANT
RISQUES DIVERS;ASSISTANCE EN VOYAGES;ASSISTANCES EN VOYAGES - PLAN ETUDIANT+
RISQUES DIVERS;ASSISTANCE DOMICILIAIRE;ASSISTANCE DOMICILIAIRE
RISQUES DIVERS;ASSISTANCE DES CARTES BANCAIRES;CARTES BANCAIRES
RISQUES DIVERS;ASSISTANCE DES VEHICULES;ASSISTANCE DES VEHICULES
RISQUES DIVERS;ASSISTANCE JURIDIQUE;ASSISTANCE PROTECTION JURIDIQUE
AUTOMOBILE;AUTOMOBILE;AUTOMOBILE
AUTOMOBILE;AUTOMOBILE;AUTOMOBILE II
AUTOMOBILE;AUTOMOBILE;AUTOMOBILE LEASING
AUTOMOBILE;AUTOMOBILE;AUTOMOBILE AMICALE
AUTOMOBILE;AUTOMOBILE;AUTOMOBILE DOUANE
AUTOMOBILE;AUTOMOBILE;OMNICANAL AUTOMOBILE PACK1
AUTOMOBILE;AUTOMOBILE;OMNICANAL AUTOMOBILE PACK2
AUTOMOBILE;AUTOMOBILE;OMNICANAL AUTOMOBILE PACK3
AUTOMOBILE;AUTOMOBILE;OMNICANAL AUTOMOBILE PACK PERSONALISE
AUTOMOBILE;AUTOMOBILE;PACK BASIC
AUTOMOBILE;AUTOMOBILE;PACK BASIC+
AUTOMOBILE;AUTOMOBILE;PACK DOMMAGE ET COLLISION
AUTOMOBILE;AUTOMOBILE;PACK TOUS RISQUES SANS FRANCHISE 
AUTOMOBILE;AUTOMOBILE;PACK TOUS RISQUES AVEC FRANCHISE 
AUTOMOBILE;AUTOMOBILE;AUTOMOBILE ASSURANCE FRONTIERE TEMPORAIRE
AUTOMOBILE;AUTOMOBILE;AUTOMOBILE TUNISIE TELECOM
AUTOMOBILE;AUTOMOBILE;PRODUIT AUTOMOBILE PERSONNEL BH BANK
ENGINEERING;TOUS RISQUES CHANTIER;TOUS RISQUES CHANTIER
ENGINEERING;TOUS RISQUES MONTAGE;TOUS RISQUES MONTAGE
ENGINEERING;RESPONSABILITE DECENNALE;RESPONSABILITE DECENNALE
ENGINEERING;BRIS DE MACHINES;BRIS DE MACHINES
ENGINEERING;ENGINS DE CHANTIERS;ENGINS DE CHANTIERS
ENGINEERING;MULTIRIQUES INFORMATIQUES;MULTIRISQUES INFORMATIQUES
TRANSPORT;TRANSPORT FACULTE TERRESTRE;POLICE AU VOYAGE(FACULTE TERRESTRE)
TRANSPORT;TRANSPORT FACULTE TERRESTRE;POLICE ABONNEMENT(FACULTE TERRESTRE)
TRANSPORT;TRANSPORT FACULTE TERRESTRE;POLICE A ALIMENTER(FACULTE TERRESTRE)
TRANSPORT;TRANSPORT FACULTE MARITIME;POLICE AU VOYAGE(FACULTE MARITIME)
TRANSPORT;TRANSPORT FACULTE MARITIME;POLICE ABONNEMENT(FACULTE MARITIME)
TRANSPORT;TRANSPORT FACULTE MARITIME;POLICE A ALIMENTER(FACULTE MARITIME)
TRANSPORT;TRANSPORT FACULTE AERIEN;POLICE AU VOYAGE(FACULTE AERIEN)
TRANSPORT;TRANSPORT FACULTE AERIEN;POLICE ABONNEMENT(FACULTE AERIEN)
TRANSPORT;TRANSPORT FACULTE AERIEN;POLICE A ALIMENTER(FACULTE AERIEN)
TRANSPORT;TRANSPORT CORPS DE PLAISANCE;POLICE AU VOYAGE(CORPS DE PLAISANCE)
TRANSPORT;TRANSPORT CORPS DE PLAISANCE;POLICE ABONNEMENT(CORPS DE PLAISANCE)
TRANSPORT;TRANSPORT CORPS DE PLAISANCE;POLICE A ALIMENTER(CORPS DE PLAISANCE)
TRANSPORT;TRANSPORT CORPS DE PECHE;POLICE AU VOYAGE(CORPS DE PECHE)
TRANSPORT;TRANSPORT CORPS DE PECHE;POLICE ABONNEMENT(CORPS DE PECHE)
TRANSPORT;TRANSPORT CORPS DE PECHE;POLICE A ALIMENTER(CORPS DE PECHE)
TRANSPORT;TRANSPORT CORPS DE TOUT NAVIRES;POLICE AU VOYAGE(CORPS DE TOUT NAVIRES)
TRANSPORT;TRANSPORT CORPS DE TOUT NAVIRES;POLICE ABONNEMENT(CORPS DE TOUT NAVIRES)
TRANSPORT;TRANSPORT CORPS DE TOUT NAVIRES;POLICE A ALIMENTER(CORPS DE TOUT NAVIRES)
TRANSPORT;TRANSPORT CORPS DE CONSTRUCTION NAVAL;POLICE AU VOYAGE(CORPS DE CONSTRUCTION NAVAL)
TRANSPORT;TRANSPORT CORPS DE CONSTRUCTION NAVAL;POLICE ABONNEMENT(CORPS DE CONSTRUCTION NAVAL)
TRANSPORT;TRANSPORT CORPS DE CONSTRUCTION NAVAL;POLICE A ALIMENTER(CORPS DE CONSTRUCTION NAVAL)
TRANSPORT;TRANSPORT CORPS AVIATION;TRANSPORT CORPS AVIATION
INCENDIE;INCENDIE RISQUES SIMPLE;INCENDIE RISQUES SIMPLE CENTRALISE
INCENDIE;INCENDIE RISQUES SIMPLE;INCENDIE RISQUES SIMPLE
INCENDIE;INCENDIE RISQUES SIMPLE;INCENDIE RISQUES SIMPLE AMICALE
INCENDIE;INCENDIE RISQUES INDUSTRIEL;INCENDIE RISQUES INDUSTRIEL
INCENDIE;INCENDIE COMMERCIAL / LEASING;INCENDIE COMMERCIAL / LEASING
INCENDIE;INCENDIE LOGEMENTS B.H.;INCENDIE LOGEMENTS  B.H
INCENDIE;CREDITS COMMERCIAUX B.H.;CREDITS COMMERCIAUX B.H
INCENDIE;MULTIRISQUES PROFESSIONNELLES;MULTIRISQUES PROFESSIONNELLES CENTRALISE
INCENDIE;MULTIRISQUES PROFESSIONNELLES;MULTIRISQUE HOTELIER
INCENDIE;MULTIRISQUES PROFESSIONNELLES;MULTIRISQUES PROFESSIONNELLES
INCENDIE;MULTIRISQUES HABITATIONS;MULTIRISQUES HABITATIONS OCCUPANT
INCENDIE;MULTIRISQUES HABITATIONS;MULTIRISQUES HABITATIONS NON OCCUPANT
INCENDIE;MULTIRISQUES HABITATIONS;MULTIRISQUES HABITATIONS  OCCUPANT AMICALE
INCENDIE;MULTIRISQUES HABITATIONS;MULTIRISQUES HABITATIONS NON OCCUPANT AMICALE
INCENDIE;MULTIRISQUES HABITATIONS;MULTIRISQUES HABITATIONS OCCUPANT (SALIM)
INCENDIE;MULTIRISQUES HABITATIONS;MULTIRISQUES HABITATIONS NON OCCUPANT (SALIM)
INCENDIE;MULTIRISQUES HABITATIONS;MULTIRISQUES HABITATIONS OCCUPANT (BH)
INCENDIE;MULTIRISQUES HABITATIONS;MULTIRISQUES HABITATIONS NON OCCUPANT (BH)
INCENDIE;PERTES D EXPLOITATIONS APRES INCENDIE;PERTES D EXPLOITATION APRES  INCENDIE
INCENDIE;INCENDIE RISQUES AGRICOLES;INCENDIE RISQUES AGRICOLES
INCENDIE;INCENDIE AUTRES;INCENDIE AUTRES
INCENDIE;INCENDIE LOGEMENT;INCENDIE LOGEMENTS  BTE
INCENDIE;INCENDIE LOGEMENT;INCENDIE LOGEMENTS
GROUPE-MALADIE;MALADIE;SANTE ET PREVOYANCE
